Year, h Index, g Index, i10 Index, tori Index, i100 Index, read10 Index
2013, 0, 0, 0, 0, 0, 0.01818181818181818
2014, 0, 0, 0, 0, 0, 0.06363636363636363
2015, 0, 0, 0, 0, 0, 0.045454545454545456
2016, 0, 0, 0, 0, 0, 0.05454545454545454
2017, 1, 1, 0, 0.016129032, 0, 8.336363636363636
2018, 1, 1, 0, 0.016129032, 0, 2.9363636363636365
2019, 2, 4, 1, 0.02214544413329969, 0, 7.080580296896088
2020, 5, 10, 3, 0.05909448206191489, 0, 11.079911302105316
2021, 9, 16, 9, 0.14744419697833877, 0, 23.812868926466695
2022, 13, 23, 18, 0.3094504855619129, 0, 31.469390277072243
2023, 19, 31, 32, 0.5499927079162079, 1, 37.04346978402113
2024, 23, 39, 38, 0.8603340677973421, 5, 36.358033368581204
